Date,Description,Category,Amount,Type,clean_description
29-12-2023,Society dark product make.,Entertainment,14.37,Expense,society dark product make
02-01-2024,Gas teacher national weight all.,Travel,1099.9,Expense,gas teacher national weight
02-01-2024,Himself fire heavy.,Rent,101.1,Expense,fire heavy
04-01-2024,Allow news.,Investment,3852,Income,allow news
04-01-2024,Man care resource.,Investment,2036,Income,man care resource
07-01-2024,Notice make.,Other,2266,Income,notice make
09-01-2024,Occur live take media hot.,Entertainment,1436.41,Expense,occur live take media hot
09-01-2024,Wife pay good within fly.,Other,880,Income,wife pay good within fly
10-01-2024,And student give score agree.,Rent,1546.57,Expense,student give score agree
11-01-2024,Best generation group goal.,Utilities,1928.07,Expense,best generation group goal
11-01-2024,Doctor fine be.,Investment,4045,Income,doctor fine
11-01-2024,Boy college mrs.,Salary,1849.5,Expense,boy college mrs
12-01-2024,Price institution method inside.,Utilities,1386.72,Expense,price institution method inside
13-01-2024,Onto worry help hope.,Investment,1348,Income,onto worry help hope
14-01-2024,Space beyond.,Health & Fitness,1013.18,Expense,space beyond
15-01-2024,Market specific property coach.,Entertainment,554.46,Expense,market specific property coach
16-01-2024,Wide cut player wind.,Travel,911.16,Expense,wide cut player wind
16-01-2024,Degree enter father of source.,Other,4696,Income,degree enter father source
16-01-2024,Behind front attack song little.,Health & Fitness,1426.63,Expense,behind front attack song little
17-01-2024,Somebody prepare few sound.,Entertainment,409.77,Expense,somebody prepare sound
19-01-2024,Finish increase economy middle public.,Travel,1376.36,Expense,finish increase economy middle public
19-01-2024,Thing physical might.,Utilities,1962.86,Expense,thing physical might
19-01-2024,Material produce station visit environmental.,Utilities,1012.75,Expense,material produce station visit environmental
19-01-2024,Table trade various risk art.,Health & Fitness,1423.6,Expense,table trade various risk art
20-01-2024,Leg drive second she.,Salary,1169.78,Expense,leg drive second
22-01-2024,Five store ask data.,Shopping,1351.74,Expense,five store ask data
23-01-2024,Statement position either.,Travel,1756.18,Expense,statement position either
24-01-2024,Draw change agree someone.,Food & Drink,1050.23,Expense,draw change agree someone
25-01-2024,Magazine yard instead town.,Investment,934,Income,magazine yard instead town
26-01-2024,Evening ahead smile.,Entertainment,541.29,Expense,evening ahead smile
26-01-2024,Compare system white magazine after.,Travel,1369.95,Expense,compare system white magazine
26-01-2024,Own test too imagine.,Investment,2917,Income,test imagine
27-01-2024,However style.,Food & Drink,723.78,Expense,however style
28-01-2024,Born same usually.,Entertainment,1487.4,Expense,born usually
30-01-2024,Wear use edge this draw.,Entertainment,1026.74,Expense,wear use edge draw
01-02-2024,Forget once hope security.,Travel,1388.94,Expense,forget hope security
06-02-2024,Design blood degree ever.,Other,3674,Income,design blood degree ever
07-02-2024,Television argue mouth.,Health & Fitness,1932.01,Expense,television argue mouth
07-02-2024,Nation little east everyone.,Other,2163,Income,nation little east everyone
10-02-2024,Little happy final population.,Salary,1661.67,Expense,little happy final population
10-02-2024,Real small.,Health & Fitness,1512.66,Expense,real small
10-02-2024,Need finally when.,Entertainment,1554.53,Expense,need finally
14-02-2024,Movement door kind.,Travel,903.14,Expense,movement door kind
14-02-2024,Until truth feeling view.,Rent,382.08,Expense,truth feeling view
15-02-2024,Decision three trouble.,Investment,3590,Income,decision three trouble
16-02-2024,Smile ever bag single.,Other,2664,Income,smile ever bag single
17-02-2024,Say unit four institution.,Other,546,Income,say unit four institution
19-02-2024,Recognize media goal.,Utilities,89.48,Expense,recognize media goal
21-02-2024,Law agree appear political.,Food & Drink,1549.59,Expense,law agree appear political
21-02-2024,Able customer figure.,Travel,986.2,Expense,able customer figure
21-02-2024,Book economic.,Health & Fitness,155.03,Expense,book economic
22-02-2024,Rate society floor long same.,Entertainment,1914.41,Expense,rate society floor long
23-02-2024,Reach step son.,Utilities,837.7,Expense,reach step son
23-02-2024,Increase consider.,Rent,705.31,Expense,increase consider
24-02-2024,Difference way type positive phone.,Health & Fitness,668.82,Expense,difference way type positive phone
24-02-2024,Cup red collection husband.,Salary,1993.3,Expense,cup red collection husband
25-02-2024,Employee become happy water bring.,Food & Drink,238.3,Expense,employee become happy water bring
27-02-2024,Significant up still management.,Entertainment,1809.95,Expense,significant still management
27-02-2024,Course technology site.,Entertainment,1918.2,Expense,course technology site
27-02-2024,High issue deal democratic.,Health & Fitness,768.93,Expense,high issue deal democratic
28-02-2024,Industry impact certainly.,Rent,777.89,Expense,industry impact certainly
29-02-2024,Dog late eat.,Travel,59.16,Expense,dog late eat
02-03-2024,Beat light the window.,Health & Fitness,1033.48,Expense,beat light window
03-03-2024,Require remain save.,Salary,97.26,Expense,require remain save
05-03-2024,Believe arrive.,Entertainment,647.42,Expense,believe arrive
05-03-2024,Likely great paper.,Investment,1871,Income,likely great paper
06-03-2024,Effect people.,Food & Drink,1257.6,Expense,effect people
06-03-2024,Provide car throughout american.,Entertainment,1731.25,Expense,provide car throughout american
06-03-2024,College manage fund.,Rent,419.1,Expense,college manage fund
07-03-2024,Bed report item.,Shopping,1296.66,Expense,bed report item
07-03-2024,Finish without.,Utilities,57.27,Expense,finish without
08-03-2024,Security unit executive.,Food & Drink,184.17,Expense,security unit executive
11-03-2024,Stop unit might job close.,Other,1077,Income,stop unit might job close
13-03-2024,New type pm.,Entertainment,1822.86,Expense,new type
15-03-2024,Country approach.,Salary,1264.13,Expense,country approach
16-03-2024,Like clear.,Food & Drink,785.11,Expense,like clear
18-03-2024,Break time manager kid.,Investment,1018,Income,break time manager kid
26-03-2024,Leader both rest challenge.,Food & Drink,1404.76,Expense,leader rest challenge
27-03-2024,Data exist.,Investment,2874,Income,data exist
28-03-2024,State none production defense your.,Travel,1217.07,Expense,state none production defense
29-03-2024,Short congress turn east marriage.,Salary,769.01,Expense,short congress turn east marriage
30-03-2024,Ago race quite hour.,Food & Drink,953.24,Expense,ago race quite hour
30-03-2024,Child ball store process.,Utilities,1496.04,Expense,child ball store process
03-04-2024,Western order accept wide prevent.,Travel,1920.67,Expense,western accept wide prevent
04-04-2024,Water yourself trade someone.,Other,591,Income,water trade someone
06-04-2024,Tell soon executive.,Utilities,255.24,Expense,tell soon executive
07-04-2024,Natural own.,Other,4900,Income,natural
08-04-2024,Effort drive side human.,Rent,616.34,Expense,effort drive side human
09-04-2024,Clear single expect.,Health & Fitness,431.36,Expense,clear single expect
09-04-2024,Fear song save.,Utilities,330.3,Expense,fear song save
10-04-2024,Capital program story mention majority.,Travel,396.71,Expense,capital program story mention majority
10-04-2024,Environmental outside bed institution.,Investment,4996,Income,environmental outside bed institution
11-04-2024,Control piece behavior message wind.,Rent,588.4,Expense,control piece behavior message wind
13-04-2024,Us money positive.,Investment,2117,Income,money positive
16-04-2024,Life bad soon.,Salary,1903.56,Expense,life bad soon
17-04-2024,Worker range feel.,Entertainment,209.09,Expense,worker range feel
17-04-2024,Into notice necessary true message.,Entertainment,642.39,Expense,notice necessary true message
17-04-2024,Including let result spend.,Travel,1389.98,Expense,including let result spend
18-04-2024,One shoulder administration.,Other,3091,Income,one shoulder administration
20-04-2024,Skill successful and.,Utilities,19.62,Expense,skill successful
21-04-2024,Finish right serious.,Entertainment,1427.28,Expense,finish right serious
22-04-2024,Space game truth special decision.,Travel,1681.82,Expense,space game truth special decision
23-04-2024,Else pull its adult house.,Other,4431,Income,else pull adult house
25-04-2024,Pretty least if.,Health & Fitness,1551.79,Expense,pretty least
26-04-2024,Peace wind guess.,Rent,359.78,Expense,peace wind guess
26-04-2024,Because career course.,Travel,1718.84,Expense,career course
30-04-2024,Teacher decide possible.,Investment,2656,Income,teacher decide possible
02-05-2024,Success teach mrs beat.,Rent,1457.58,Expense,success teach mrs beat
03-05-2024,Listen against coach.,Food & Drink,1627.16,Expense,listen coach
04-05-2024,White likely teacher one.,Entertainment,1813.54,Expense,white likely teacher one
04-05-2024,Notice street anything.,Salary,1311.28,Expense,notice street anything
05-05-2024,Piece require.,Other,2329,Income,piece require
05-05-2024,Say other never fact.,Travel,276.42,Expense,say never fact
14-05-2024,Main opportunity particularly question.,Rent,799.6,Expense,main opportunity particularly question
15-05-2024,Research month instead.,Entertainment,1697.48,Expense,research month instead
17-05-2024,As throughout individual list manager.,Utilities,1516.84,Expense,throughout individual list manager
20-05-2024,Recently again explain court.,Investment,1967,Income,recently explain court
22-05-2024,Discussion detail training fund.,Utilities,1474.48,Expense,discussion detail training fund
23-05-2024,Third rich hospital.,Health & Fitness,90.44,Expense,third rich hospital
25-05-2024,Somebody son suddenly perform.,Entertainment,135.09,Expense,somebody son suddenly perform
26-05-2024,Project can.,Food & Drink,1340.49,Expense,project
27-05-2024,Paper beyond indeed.,Health & Fitness,782.31,Expense,paper beyond indeed
27-05-2024,Doctor news yourself.,Food & Drink,89.41,Expense,doctor news
31-05-2024,Ground city still.,Rent,1410.44,Expense,ground city still
01-06-2024,Southern front.,Travel,1671.4,Expense,southern front
02-06-2024,Dinner no main year size.,Utilities,759.55,Expense,dinner main year size
02-06-2024,Environment character real middle prove.,Rent,1038.16,Expense,environment character real middle prove
03-06-2024,Sometimes while sense window.,Entertainment,1037.58,Expense,sometimes sense window
04-06-2024,Among black picture that treat.,Health & Fitness,978.85,Expense,among black picture treat
06-06-2024,Remain seven marriage.,Food & Drink,1008.66,Expense,remain seven marriage
07-06-2024,Positive free case.,Investment,2384,Income,positive free case
09-06-2024,Wide shoulder according strong.,Other,2232,Income,wide shoulder according strong
10-06-2024,Expert commercial entire resource.,Investment,3467,Income,expert commercial entire resource
12-06-2024,Picture early send morning.,Rent,1325.61,Expense,picture early send morning
13-06-2024,Soon including important.,Health & Fitness,1443.31,Expense,soon including important
13-06-2024,Some gun ahead certainly act.,Salary,963.25,Expense,gun ahead certainly act
14-06-2024,Be fire.,Shopping,54.67,Expense,fire
15-06-2024,Article service produce political.,Investment,1603,Income,article service produce political
16-06-2024,Within woman.,Food & Drink,1782.69,Expense,within woman
17-06-2024,Information though red.,Investment,2615,Income,information though red
21-06-2024,Training account evidence month.,Shopping,1202.72,Expense,training account evidence month
21-06-2024,Land day name small.,Food & Drink,1758.23,Expense,land day name small
22-06-2024,Thought sit identify culture.,Travel,1895.04,Expense,thought sit identify culture
23-06-2024,Already free.,Salary,1735.93,Expense,already free
23-06-2024,Yeah exist behavior necessary miss.,Other,1669,Income,yeah exist behavior necessary miss
23-06-2024,Agreement someone.,Utilities,1250.19,Expense,agreement someone
23-06-2024,Strategy fight institution.,Utilities,1451.13,Expense,strategy fight institution
23-06-2024,Rule success.,Salary,1197.1,Expense,rule success
01-07-2024,Medical buy series walk large.,Other,3657,Income,medical buy series walk large
05-07-2024,Law work.,Investment,2157,Income,law work
06-07-2024,Research visit program suddenly doctor.,Shopping,1654.76,Expense,research visit program suddenly doctor
07-07-2024,Project spring of.,Utilities,956.98,Expense,project spring
07-07-2024,Mind easy foreign old.,Food & Drink,1756.73,Expense,mind easy foreign old
07-07-2024,Better republican stock bank.,Rent,195.45,Expense,better republican stock
07-07-2024,Thousand live land hard.,Food & Drink,1794.97,Expense,thousand live land hard
13-07-2024,Open million house enough.,Shopping,1048.87,Expense,open million house enough
13-07-2024,You ready way rule.,Food & Drink,1398.31,Expense,ready way rule
16-07-2024,Certain camera represent.,Salary,1581.22,Expense,certain camera represent
20-07-2024,Tell brother defense list second.,Rent,856.72,Expense,tell brother defense list second
21-07-2024,Tv budget system book.,Entertainment,1821.07,Expense,budget system book
22-07-2024,Face mission brother figure hear.,Other,2611,Income,face mission brother figure hear
23-07-2024,Agreement central six instead.,Investment,4780,Income,agreement central six instead
23-07-2024,Democratic standard major.,Investment,3572,Income,democratic standard major
25-07-2024,Give that individual of not.,Health & Fitness,823.6,Expense,give individual
26-07-2024,Little result paper seven.,Other,2577,Income,little result paper seven
26-07-2024,Seven project chance road.,Shopping,1133.69,Expense,seven project chance road
26-07-2024,Professor important do house must.,Shopping,1512.39,Expense,professor important house must
26-07-2024,Position tend religious.,Salary,365.65,Expense,position tend religious
27-07-2024,Someone religious night buy nice.,Salary,515.02,Expense,someone religious night buy nice
27-07-2024,My serious whatever miss seek.,Health & Fitness,1550.65,Expense,serious whatever miss seek
27-07-2024,Build view.,Utilities,1711.45,Expense,build view
28-07-2024,Ever day.,Entertainment,898.72,Expense,ever day
28-07-2024,Be move fly open.,Utilities,209.55,Expense,move fly open
29-07-2024,Future congress.,Health & Fitness,1603.7,Expense,future congress
29-07-2024,Fish either boy between collection.,Food & Drink,329.87,Expense,fish either boy collection
29-07-2024,Eight bed fill.,Food & Drink,1610.7,Expense,eight bed fill
30-07-2024,Arrive which consider.,Salary,1852.46,Expense,arrive consider
30-07-2024,Hope floor include.,Rent,533.55,Expense,hope floor include
01-08-2024,Heart still building.,Food & Drink,1451.74,Expense,heart still building
02-08-2024,Sell only manage.,Shopping,1231.79,Expense,sell manage
02-08-2024,We especially five network.,Food & Drink,1891.97,Expense,especially five network
03-08-2024,Ahead plant trial affect.,Salary,883.55,Expense,ahead plant trial affect
03-08-2024,Push east never size fight.,Travel,397.55,Expense,push east never size fight
08-08-2024,Base player data whose.,Entertainment,1234.23,Expense,base player data whose
09-08-2024,World site mr interest treatment.,Health & Fitness,486.12,Expense,world site interest treatment
11-08-2024,A let.,Investment,1211,Income,let
14-08-2024,A value lot.,Shopping,712.72,Expense,value lot
14-08-2024,Yourself successful defense subject.,Entertainment,1040.31,Expense,successful defense subject
14-08-2024,Claim move.,Rent,1839.16,Expense,claim move
15-08-2024,Bed recognize store.,Health & Fitness,701.48,Expense,bed recognize store
22-08-2024,There decision measure.,Entertainment,1216.66,Expense,decision measure
23-08-2024,Play woman remain event.,Other,538,Income,play woman remain event
25-08-2024,Decision where foreign trial.,Shopping,1017.41,Expense,decision foreign trial
25-08-2024,Participant above.,Travel,686.53,Expense,participant
25-08-2024,Including time reflect.,Other,4906,Income,including time reflect
27-08-2024,Ball theory prepare much throughout.,Travel,1391.44,Expense,ball theory prepare much throughout
27-08-2024,Good spend still.,Salary,1542.23,Expense,good spend still
28-08-2024,Concern should recent across.,Salary,1366.37,Expense,concern recent across
28-08-2024,View know develop after.,Food & Drink,969.12,Expense,view know develop
28-08-2024,Course staff personal space.,Shopping,1270.99,Expense,course staff personal space
30-08-2024,Woman whose already.,Entertainment,1602.32,Expense,woman whose already
01-09-2024,Decide cultural start how thank.,Health & Fitness,1037.84,Expense,decide cultural start thank
02-09-2024,Management necessary process not.,Other,2533,Income,management necessary process
05-09-2024,Assume campaign assume.,Shopping,1350.66,Expense,assume campaign assume
05-09-2024,Talk thing rock ever summer.,Rent,1113.56,Expense,talk thing rock ever summer
05-09-2024,Pass quite third ability interview.,Other,3396,Income,pass quite third ability interview
05-09-2024,Item yet ever quite.,Travel,373.74,Expense,item yet ever quite
06-09-2024,Guess service this different.,Entertainment,1003.01,Expense,guess service different
07-09-2024,Mother first hot free.,Investment,2674,Income,mother first hot free
08-09-2024,Wrong difficult.,Entertainment,1671.53,Expense,wrong difficult
10-09-2024,True culture.,Health & Fitness,320.43,Expense,true culture
13-09-2024,As personal agreement.,Investment,4535,Income,personal agreement
15-09-2024,Or phone.,Food & Drink,1697.54,Expense,phone
16-09-2024,East list when.,Health & Fitness,989.76,Expense,east list
17-09-2024,Mind door authority outside.,Travel,986.7,Expense,mind door authority outside
17-09-2024,Personal often.,Travel,801.78,Expense,personal often
17-09-2024,True help.,Utilities,117.75,Expense,true help
18-09-2024,Artist sort area.,Salary,1879.91,Expense,artist sort area
21-09-2024,Big argue.,Other,3725,Income,big argue
22-09-2024,Sure i pay.,Utilities,919.82,Expense,sure pay
23-09-2024,Ten skin perhaps.,Other,3085,Income,ten skin perhaps
24-09-2024,Less into per big.,Food & Drink,1351.47,Expense,less per big
25-09-2024,Military onto blue activity.,Rent,657.62,Expense,military onto blue activity
26-09-2024,Smile cover of pm eight.,Travel,382.43,Expense,smile cover eight
26-09-2024,Right know during someone.,Travel,947.98,Expense,right know someone
27-09-2024,Find job where.,Health & Fitness,375.99,Expense,find job
27-09-2024,On must certainly.,Shopping,1404.42,Expense,must certainly
01-10-2024,Owner fact wife.,Shopping,566.46,Expense,owner fact wife
01-10-2024,Price certain down standard nice.,Investment,2372,Income,price certain standard nice
02-10-2024,Gas with policy cut.,Travel,1610.13,Expense,gas policy cut
02-10-2024,Country little reality level.,Shopping,400.17,Expense,country little reality level
03-10-2024,Not friend federal forget bit.,Utilities,951.24,Expense,friend federal forget bit
04-10-2024,Detail about development discover.,Other,4592,Income,detail development discover
04-10-2024,Lose shoulder spring.,Other,4486,Income,lose shoulder spring
07-10-2024,Hundred step according.,Food & Drink,802.82,Expense,hundred step according
08-10-2024,Group never.,Food & Drink,438.78,Expense,group never
09-10-2024,Key place tree.,Rent,905.21,Expense,key place tree
10-10-2024,Wish current.,Health & Fitness,727.01,Expense,wish current
10-10-2024,Despite energy company.,Travel,694.84,Expense,despite energy company
11-10-2024,Condition again successful.,Health & Fitness,1736.06,Expense,condition successful
12-10-2024,Story case.,Entertainment,1157.94,Expense,story case
15-10-2024,Very figure drive special.,Utilities,1958.95,Expense,figure drive special
17-10-2024,With young think there assume.,Health & Fitness,1349.65,Expense,young think assume
17-10-2024,Some court her.,Salary,1780.37,Expense,court
18-10-2024,Outside with each animal.,Travel,932.87,Expense,outside animal
19-10-2024,Take family chance.,Utilities,1284.76,Expense,take family chance
19-10-2024,Picture evidence.,Shopping,1266.23,Expense,picture evidence
21-10-2024,Why though decide bank likely.,Rent,167.43,Expense,though decide likely
21-10-2024,Meet seem population.,Health & Fitness,640.59,Expense,meet seem population
21-10-2024,Material less focus hear.,Travel,1214.72,Expense,material less focus hear
23-10-2024,Listen ok point so.,Salary,1564.14,Expense,listen point
24-10-2024,Detail data tell.,Salary,833.84,Expense,detail data tell
28-10-2024,Fill thousand number.,Investment,1524,Income,fill thousand number
01-11-2024,Nearly care base.,Travel,1881.47,Expense,nearly care base
02-11-2024,Goal once let perform international.,Rent,429.04,Expense,goal let perform international
03-11-2024,Important source first him.,Rent,136.95,Expense,important source first
03-11-2024,Doctor population grow bar.,Food & Drink,62.47,Expense,doctor population grow bar
11-11-2024,National back everybody direction budget.,Rent,216.82,Expense,national back everybody direction budget
11-11-2024,National free.,Rent,1313.12,Expense,national free
12-11-2024,Few spring raise.,Travel,466.42,Expense,spring raise
13-11-2024,Relationship your your.,Salary,1256.7,Expense,relationship
13-11-2024,Across federal state.,Investment,734,Income,across federal state
13-11-2024,State serious activity pressure.,Other,3164,Income,state serious activity pressure
13-11-2024,Dinner rich decide do.,Salary,1950.21,Expense,dinner rich decide
14-11-2024,Serious reveal left social fine.,Travel,1101.61,Expense,serious reveal left social fine
14-11-2024,Show recently decide last.,Investment,4240,Income,show recently decide last
16-11-2024,Hear officer.,Shopping,1051.69,Expense,hear officer
17-11-2024,Wall act special.,Travel,1818.76,Expense,wall act special
17-11-2024,Different international sell several.,Entertainment,1611.37,Expense,different international sell several
17-11-2024,For age size.,Health & Fitness,830.29,Expense,age size
17-11-2024,With yes nothing.,Investment,500,Income,yes nothing
18-11-2024,Woman daughter hospital move.,Utilities,694.33,Expense,woman daughter hospital move
18-11-2024,Board notice later thus.,Food & Drink,1378.66,Expense,board notice later thus
19-11-2024,Bit need allow.,Salary,606.22,Expense,bit need allow
20-11-2024,Cost attorney.,Travel,1198.04,Expense,cost attorney
20-11-2024,Day fact modern.,Health & Fitness,385.26,Expense,day fact modern
22-11-2024,Happy action.,Shopping,795.56,Expense,happy action
23-11-2024,Hospital writer can industry.,Other,3599,Income,hospital writer industry
24-11-2024,Western tend candidate day.,Rent,850.26,Expense,western tend candidate day
24-11-2024,City offer financial data.,Travel,576.51,Expense,city offer financial data
24-11-2024,Cut yard knowledge.,Travel,831.68,Expense,cut yard knowledge
25-11-2024,Space moment travel these least.,Utilities,281.88,Expense,space moment travel least
25-11-2024,Say explain.,Other,4209,Income,say explain
25-11-2024,Red republican father party.,Salary,383.7,Expense,red republican father party
26-11-2024,Eat tonight run leader.,Investment,4882,Income,eat tonight run leader
29-11-2024,Believe recognize analysis those citizen.,Investment,2811,Income,believe recognize analysis citizen
30-11-2024,Project at risk.,Salary,1456.94,Expense,project risk
02-12-2024,In seven building hard.,Utilities,39.3,Expense,seven building hard
05-12-2024,Short for late education.,Shopping,630.04,Expense,short late education
06-12-2024,Left available.,Health & Fitness,932.73,Expense,left available
09-12-2024,Gas human create also.,Health & Fitness,169.64,Expense,gas human create also
11-12-2024,Remember carry.,Utilities,121.52,Expense,remember carry
12-12-2024,Leave bar prevent require.,Rent,1090.95,Expense,leave bar prevent require
12-12-2024,Likely evidence claim.,Other,3625,Income,likely evidence claim
15-12-2024,Beyond family movement hospital back.,Rent,1949.45,Expense,beyond family movement hospital back
16-12-2024,Child group describe.,Shopping,1544.74,Expense,child group describe
19-12-2024,Democratic recent student specific political.,Food & Drink,406.37,Expense,democratic recent student specific political
19-12-2024,Real know our any.,Rent,1047.07,Expense,real know
21-12-2024,Up hear draw.,Salary,784.35,Expense,hear draw
23-12-2024,Instead writer.,Health & Fitness,325.64,Expense,instead writer
28-12-2024,Quite as when.,Rent,514.09,Expense,quite
28-12-2024,Right analysis mention.,Entertainment,727.25,Expense,right analysis mention
28-12-2024,No couple debate must.,Investment,1425,Income,couple debate must
29-12-2024,Discussion black follow.,Shopping,655.78,Expense,discussion black follow
29-12-2024,Pressure activity defense detail.,Other,1480,Income,pressure activity defense detail
